title,author,published_date,synopsis,url,fetched_at
SpaceX Falcon 9 rocket streaks into Florida's night sky carrying Starlink satellites to orbit (video),Mike Wall,2025-11-19T01:42:03Z,SpaceX launched another batch of its Starlink internet satellites in a nighttime liftoff from Cape Canaveral Space Force Station on Tuesday (Nov. 18).,https://www.space.com/space-exploration/launches-spacecraft/spacex-starlink-launch-group-6-94-asog,2025-11-19T11:22:19.778989
SpaceX Falcon 9 rocket streaks into Florida's night sky carrying Starlink satellites to orbit (video),Mike Wall,2025-11-19T01:42:03Z,SpaceX launched another batch of its Starlink internet satellites in a nighttime liftoff from Cape Canaveral Space Force Station on Tuesday (Nov. 18).,https://www.space.com/space-exploration/launches-spacecraft/spacex-starlink-launch-group-6-94-asog,2025-11-19T11:22:19.779087
The Euclid space telescope observed 1.2 million galaxies in just 1 year. Here's what we've learned,Robert Lea,2025-11-18T23:00:00Z,The data is starting to reveal how galaxies and their black holes evolve.,https://www.space.com/astronomy/the-euclid-space-telescope-observed-1-2-million-galaxies-in-just-1-year-heres-what-weve-learned,2025-11-19T11:22:19.779169
Walk through the asteroid strike that killed the dinosaurs with American Museum of Natural History's new 'Impact' exhibit,Joanna Thompson,2025-11-18T22:00:00Z,"""It sounds like science fiction or the stuff of Hollywood movies.""",https://www.space.com/astronomy/asteroids/walk-through-the-asteroid-strike-that-killed-the-dinosaurs-with-american-museum-of-natural-historys-new-impact-exhibit,2025-11-19T11:22:19.779262
Ryan Gosling and 'Rocky' team up to save the galaxy in new 'Project Hail Mary' trailer (video),Jeff Spry,2025-11-18T21:00:00Z,"""His planet's dying, too. We're here for the same reason.""",https://www.space.com/entertainment/ryan-gosling-and-rocky-save-life-on-earth-in-new-project-hail-mary-trailer-video,2025-11-19T11:22:19.779347
The James Webb Space Telescope may have finally found the 1st stars in the universe,Robert Lea,2025-11-18T20:00:00Z,"""We really needed the sensitivity of JWST. We also needed the 100 times magnification from gravitational lensing from a galaxy cluster between us and LAP1-B.""",https://www.space.com/astronomy/the-james-webb-space-telescope-may-have-finally-found-the-1st-stars-in-the-universe,2025-11-19T11:22:19.779426
Do the cores of dead stars exist forever?,Paul Sutter,2025-11-18T19:00:00Z,"Regular stars collapse and die once they run out of fuel for their nuclear reactions, but the white dwarfs just sit there, hanging out, for eternity.",https://www.space.com/astronomy/stars/do-the-cores-of-dead-stars-exist-forever,2025-11-19T11:22:19.779507
"Best telescopes ahead of Black Friday 2025: Observe stars, galaxies and nebulas",Gemma Lavender,2025-11-18T18:05:53Z,Buying GuideThese are the best telescopes for stargazing and astronomy. Black Friday arrives next week on Nov. 28.,https://www.space.com/15693-telescopes-beginners-telescope-reviews-buying-guide.html,2025-11-19T11:22:19.779585
Huge red giant star has newfound companion — and it may be a bad neighbor,Robert Lea,2025-11-18T17:00:00Z,"""Throwing a close companion into the mix could possibly wreak further havoc on the already complicated processes surrounding these stars.""",https://www.space.com/astronomy/stars/huge-red-giant-star-has-newfound-companion-and-it-may-be-a-bad-neighbor,2025-11-19T11:22:19.779662
Rocket launch today: Is there a rocket launch and what time?,"Josh Dinner,Tariq Malik",2025-11-18T16:57:27Z,Follow Space.com's rocket launch blog for the latest on when the next rocket launch will be and how to follow it live.,https://www.space.com/live/rocket-launch-today,2025-11-19T11:22:19.779741
"Best smart telescopes Black Friday 2025: Observe stars, galaxies and nebulas with ease",Kimberley Lane,2025-11-18T16:54:26Z,"Buying GuideThe best smart telescopes make viewing the universe a breeze. Treat yourself to our top picks from Unistellar, Celestron, Vaonis and more.",https://www.space.com/best-smart-telescopes,2025-11-19T11:22:19.779819
